feature,JS_divergence,Wasserstein
DETposs,0.47167448834792824,0.110569871270605
DETposs1p,0.2559058821536887,0.005649580251582451
DETposs1s,0.39240344589959325,0.06387952520281757
DETposs2,0.19526402364742598,0.01453148252981687
DETposs3p,0.15630277809557666,0.0060438591691800644
DETposs3s,0.25578945404113196,0.026049851053009093
PREP,0.20073834182788639,0.1403423764342065
AUXp,0.20493773401623244,0.06445543794457001
AUXm,0.12687844101399776,0.01659286183330059
PRN,0.35883241498206664,0.24607024228562557
CONJspur,0.05293452067460895,0.0003505372913112536
QUANT,0.07549477689966579,0.013982465039717323
PRNrec,0.2002584930978392,0.001217609815855417
PRNref,0.4071894174641153,0.012178626593756696
PRNref1p,0.20159129948558605,0.0003748244299867489
PRNref1s,0.34137774634160567,0.00644649509387625
PRNref2p,0.09089427475300492,3.564951352512706e-05
PRNref2s,0.28494464449743684,0.003493899875384862
PRNref3p,0.19494493909001598,0.000963474346696716
PRNref3s,0.15285370016531333,0.0008820351832762174
PREPs,0.19590269173806574,0.1367658457036078
CONJs,0.21971103182812465,0.06965965675500618
CONJst,0.22203437267704582,0.021749904716060177
TOPart,0.11548854563281585,0.007575962572950607
TOPbus,0.14727105138452923,0.01091233263438308
TOPedu,0.21996934541599888,0.01318782664589694
TOPent,0.2790483501096572,0.045763447978866986
TOPenv,0.1200226081259508,0.003112021058960626
TOPfas,0.10757601582112265,0.006546631273312465
TOPfood,0.13402437246748058,0.005881797216638396
TOPhea,0.46727808856063613,0.04123174146004787
TOPmus,0.12602545885457855,0.01830297763039262
TOPpol,0.05993814551057596,0.006697899390926833
TOPrel,0.4197358701284256,0.04381843644830899
TOPsci,0.1177189481100621,0.004057196270291759
TOPspo,0.3112885686757693,0.06373090398447301
TOPtec,0.2607100906871957,0.031085325305604417
TOPtra,0.13500512081448143,0.01154122165780869
EMOacc,0.20293501918606266,0.0071526242166126824
EMOang,0.22033262400417883,0.005109265441457157
EMOann,0.3401442286069333,0.008906822256530066
EMOant,0.13669673919069067,0.005511110725160183
EMOanx,0.41294061973431395,0.014015458637703523
EMObli,0.15910531507487413,0.0030991158862535752
EMOcal,0.14290113733826612,0.004891642078422052
EMOcon,0.1675157646741712,0.006682428132691499
EMOdel,0.14093152905530976,0.005342547935057207
